saupNo,saupNm,proStage,maxDigDepth,no
20211704,화성시 병점복합타운 상업 10BL 생활형 숙박시설 신축공사,제출완료,26.16,3376
20211705,판교 142 프로젝트 신축공사,제출완료,15.00,3377
20211706,용산구 이태원동 126-7번지 외 3필지 오피스텔 신축공사,제출완료,19.85,3378
20211707,안산 사동 90BL 복합용지 Ⅰ-1BL 복합시설 개발사업,제출완료,19.81,3379
20211709,연신내구역 도시정비형 재개발사업,제출완료,38.55,3380
20211710,논현동 102-26 근린생활시설 신축공사,제출완료,14.29,3381
20211711,(도시재생리츠)천안역세권 도시재생혁신지구 재생사업 지하안전영향평가(소규모 포함) 용역_C3_주상복합,제출완료,18.57,3382
20211712,용인 수지구 동천동 복합시설 신축공사,제출완료,16.93,3383
20211713,(도시재생리츠)천안역세권 도시재생혁신지구 재생사업 지하안전영향평가(소규모 포함) 용역 C4_생활SOC+지식산업센터(대규모),제출완료,26.17,3384
20211714,(도시재생리츠) 천안역세권 도시재생혁신지구 재생사업 지하안전영향평가(소규모 포함) 용역 C5_복합환승센터(소규모),제출완료,14.54,3385
20211715,과천지식정보타운 공공주택지구 주1블럭 신축공사,제출완료,19.98,3386
20211716,파주운정 와동동 1448 복합시설 신축공사,제출완료,29.32,3387
20211717,파주운정 와동동 1446 복합시설 신축공사,제출완료,12.54,3388
20211718,대구광역시 동구 신천동  주거복합 신축공사,사업 등록 완료,19.80,3389
20211719,보문사 문화체험관 건립공사,제출완료,10.12,3390
20211720,다우 클라우드 데이터센터 신축공사,제출완료,19.31,3391
20211721,밀양 지역상생 복합문화센터 소규모 지하안전영향평가 용역,제출완료,14.34,3392
20211722,서울시 은평구 불광동 444-35번지 신축공사,사업 등록 완료,12.00,3393
20211723,고산지구 오피스텔 신축공사 ,제출완료,18.42,3394
20211724,고덕강일지구 자족1-1BL 업무시설 신축공사,제출완료,17.62,3395
20211725,반월당 사랑마을 가로주택 정비사업,제출완료,34.58,3396
20211726,"논현동 80-20, 21 근린생활시설 신축공사",제출완료,18.01,3397
20211727,창원시 사화공원 민간개발특례사업 1BL 공동주택 신축공사,제출완료,18.21,3398
20211728,창원시 사화공원 민간개발특례사업 2BL 공동주택 신축공사,제출완료,10.63,3399
20211729,광명시 일직동 510번지 근린생활시설 및 오피스텔 신축공사,제출완료,12.61,3400
20211730,아산시 탕정면 용두리 706 시네마 복합상가 신축공사,제출완료,14.87,3401
20211731,경기도 화성시 우정읍 주곡리 667-11,제출완료,25.46,3402
20211732,광주광역시남구 진월동228일원 연립주택신축공사,제출완료,19.28,3403
20211734,태평로2가(37-3) 주거복합단지 신축공사,제출완료,23.15,3404
20211735,마산 석전동 주상복합 신축공사,사업 등록 완료,16.00,3405
20211736,행정중심복합도시 3생활권 광장주차장 건설공사,제출완료,13.51,3406
20211737,"고양지축 공공주택지구 업무B1-1-1,2,3 근린생활시설 신축공사",제출완료,15.77,3407
20211738,성남은행주공아파트 주택재건축 정비사업 공원하부주차장,제출완료,16.73,3408
20211739,청북고렴 물류센터,제출완료,19.90,3409
20211740,남양주시 금곡동 430-58 오피스텔 신축공사,제출완료,19.45,3410
20211741,행정중심복합도시 수질복원센터(D)건설공사,제출완료,18.00,3411
20211742,수원시 장안구 정자동 OO 주상복합 신축공사,제출완료,15.50,3412
