evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00112000005,성남시 판교 제2테크노밸리 E8-3BL 업무시설 신축,0.00,24.15,0.00,20190218,20190930,114400.00,진행중,0,1
E00073000001,서울 영등포구 당산동2가 기업형임대주택,0.00,29.10,0.00,20180305,20180713,187000.00,진행중,0,1
E00023000012,인천 서구 청라동 153-2 C6-2-2BL 근린생활 및 오피스텔,28000.00,23.64,0.00,20180720,20181107,110000.00,승인완료,24,1
E00044000006,인천 서구 청라동 6-3 오피스텔 신축,0.00,24.11,0.00,20180409,20181130,88000.00,진행중,0,1
E00001000003,인천 경서동 944-1 오피스텔 신축 지하안전영향평가,0.00,32.66,0.00,20180608,20181029,66000.00,진행중,33,1
E00022000006,인천 중구 운북동 1274-2 오피스텔 신축,170000.00,28.40,0.00,20180925,20181026,110000.00,승인완료,28,1
E00049000004,"안산시 성포동 593-4,5번지 사랑의 병원 증축공사",16000.00,23.36,0.00,20180730,20181116,79000.00,진행중,0,1
E00060000006,안양시 관양동 1591-6번지 Serviced Residence Hotel 신축,160000.00,26.10,0.00,20181219,20190125,110000.00,진행중,26,1
E00054000001,광주도시철도2호선 1단계,0.00,36.81,0.00,20180611,20190226,178290.00,승인완료,37,1
E00183000002,서울시 강남구 역삼동 635-1 역삼문화공원 지하주차장 건설,19306.00,22.80,0.00,20180510,20190510,66648.00,진행중,2658,1
E00141000006,서울시 강남구 역삼동 826번지 복합시설 신축,0.00,24.83,0.00,20190118,20190830,88000.00,진행중,0,1
E00208000003,안양시 만안구 안양동 668번지 일원 수암천 하천정비사업,0.00,21.50,0.00,20180628,20181224,40777.00,승인완료,22,1
E00208000002,안양시 만안구 안양동 668번지 일원수암천 하천정비사업,0.00,21.50,0.00,20180628,20181224,40777.00,진행중,22,1
E00010000013,인천 중구 운서동 3093-7 오피스텔 신축,23900.00,31.41,0.00,20180910,20181019,93500.00,승인완료,31,1
E00228000004,인천시 미추홀구 도화동 377-1번지 외5필지 주상복합 신축,287954.00,21.19,0.00,20181101,20190208,85800.00,진행중,9285,1
E10008000002,부천시 중동 1059 오피스텔 신축,0.00,36.60,0.00,20180401,20180801,198000.00,진행중,0,1
E00096000009,하남시 학암동 산1-1 위례 일상7 오피스텔 근린생활시설 신축,0.00,22.83,0.00,20181212,20190422,82500.00,진행중,0,1
E00044000010,해운대구 우동 1513 신축공사,0.00,34.56,0.00,20180801,20190705,66000.00,승인완료,0,1
E00066000015,화성 동탄2택지 일상 11블럭 복합시설 신축,0.00,36.00,0.00,20180115,20180416,154000.00,진행중,36,1
E00066000016,화성 동탄2택지 일상 12블럭 복합시설 신축,0.00,36.05,0.00,20180115,20180416,154000.00,진행중,36,1
E00066000017,화성동탄 2신도시 지원시설용지 39BL 지식산업센터 신축공사,220000.00,21.75,0.00,20180903,20181031,100000.00,승인완료,22,1
E00172000001,"청주시 전기공급시설 관로공사(1-1차, 목련로 구간)",0.00,21.37,0.00,,,0.00,승인완료,21,1
E00121000022,당진시 송산면 유곡리 생활숙박시설 신축공사,22600.00,22.87,0.00,20190101,20190805,148500.00,승인완료,23,1
E00018000007,대전 유성구 봉명동 442-4번지외 숙박시설 및 근린생활시설 신축공사,0.00,22.11,0.00,20180411,20180702,121440.00,승인완료,22,1
E00251000006,"남양주 다산진건 상업2 1-3,4 오피스텔",100000.00,28.04,0.00,20180412,20180711,133100.00,,28,1
E00172000002,청주시 전기공급시설 전력구공사 북오송 S/S,0.00,21.84,0.00,,,0.00,승인완료,22,1
E00022000014,청라국제도시 상업C-17-1-2블럭,180000.00,18.08,0.00,20190501,20190613,115500.00,승인완료,18,1
E00066000014,청라 국제금융단지 핵심업무시설 A동,0.00,23.30,0.00,,,0.00,승인완료,23,1
E00033000002,인천시 중구 중산동 1873-21 영종하늘도시 C7-8-3BL 오피스텔 ,104000.00,33.38,0.00,20190211,20190329,77000.00,진행중,33,1
E00251000010,인천시 중구 운서동 오피스텔 신축공사,23900.00,20.41,0.00,20180910,20181019,93500.00,승인완료,20,1
E00022000011,서울시 강남구 청담동 71-18 외1 동국제약 사옥신축공사,0.00,21.09,0.00,20190211,20190416,90200.00,진행중,0,1
E00025000007,서울 용산구 문배동 8-5외 6필지 오피스텔 신축공사,55000.00,33.14,0.00,20180725,20180807,77000.00,진행중,0,1
E00154000010,서울시 마포구 동교동 167-13외 복합시설,0.00,34.19,0.00,20180901,20181016,169400.00,승인완료,34,1
E00154000011,서울시 마포구 동교동 167-24 근린시설,0.00,21.40,0.00,20180901,20181016,169400.00,승인완료,21,1
E00022000007,서울 강동구 성내동 48-6 천호성내3구역 재개발 사업,248200.00,34.52,0.00,20181120,20181213,66000.00,진행중,35,1
E00055000004,서울 강남구 청담동 87-5 의료센터,0.00,29.40,0.00,,,0.00,진행중,29,1
E00009000010,서울 강남구 역삼동 824-17 협진해운 사옥 신축공사,91500.00,24.62,0.00,20180220,20180430,83600.00,진행중,0,1
